rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3,35
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,24
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,29
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,50
rnbqkbnr/pp2pppp/2p5/8/3Pp3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4,31
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,37
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,42
rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,40
r1bqkbnr/pp1npppp/2p5/8/2BPN3/8/PPP2PPP/R1BQK1NR b KQkq - 2 5,28
r1bqkbnr/pp1npppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,40
r1bqkb1r/pp1npppp/2p2n2/8/2BPN3/8/PPP2PPP/R1BQK1NR w KQkq - 3 6,35
r1bqkb1r/pp3ppp/1np1pn2/6N1/3P4/3B4/PPP1QPPP/R1B1K1NR b KQkq - 3 8,0
r1bqkb1r/pp3pp1/1np1pn1p/8/3P4/3B1N2/PPP1QPPP/R1B1K1NR b KQkq - 1 9,0
r1bqkb1r/pp3pp1/1n2pn1p/2p5/3P4/3B1N2/PPP1QPPP/R1B1K1NR w KQkq - 0 10,0
r1bqkb1r/pp1npppp/2p2n2/6N1/2BP4/8/PPP2PPP/R1BQK1NR b KQkq - 4 6,14
r1bqkb1r/pp1n1ppp/2p1pn2/6N1/2BP4/8/PPP2PPP/R1BQK1NR w KQkq - 0 7,8
r1bqkb1r/pp1n1ppp/2p1pn2/6N1/2BP4/8/PPP1QPPP/R1B1K1NR b KQkq - 1 7,10
r1bqkb1r/pp3ppp/1np1pn2/6N1/2BP4/8/PPP1QPPP/R1B1K1NR w KQkq - 2 8,6
r1bqkb1r/pp3pp1/1n2pn1p/2P5/8/3B1N2/PPP1QPPP/R1B1K1NR b KQkq - 0 10,0
r1bqkb1r/pp3pp1/1np1pn1p/6N1/3P4/3B4/PPP1QPPP/R1B1K1NR w KQkq - 0 9,5
r1bqk2r/pp3pp1/1n2pn1p/2b5/8/3B1N2/PPP1QPPP/R1B1K1NR w KQkq - 0 11,9
r1bqk2r/pp3pp1/1n2pn1p/2b1N3/8/3B4/PPP1QPPP/R1B1K1NR b KQkq - 1 11,17
r1bqk2r/pp1n1pp1/4pn1p/2b1N3/8/3B4/PPP1QPPP/R1B1K1NR w KQkq - 2 12,16
r1b1k2r/ppqn1pp1/4pn1p/2b1N3/8/3B1N2/PPP1QPPP/R1B1K2R w KQkq - 4 13,18
r1bqk2r/pp1n1pp1/4pn1p/2b1N3/8/3B1N2/PPP1QPPP/R1B1K2R b KQkq - 3 12,20
r1b1k2r/ppqn1pp1/4pn1p/4N3/1b3B2/3B4/PPPNQPPP/R3K2R b KQkq - 7 14,0
r1b2rk1/ppqn1pp1/4pn1p/4N3/5B2/3B4/PPPKQPPP/R2R4 b - - 2 16,0
r1b1k2r/ppqn1pp1/4pn1p/2b1N3/5B2/3B1N2/PPP1QPPP/R3K2R b KQkq - 5 13,10
r1b1k2r/ppqn1pp1/4pn1p/4N3/5B2/3B4/PPPKQPPP/R6R b kq - 0 15,0
r1b2rk1/ppqn1pp1/4pn1p/4N3/5B2/3B4/PPPKQPPP/R6R w - - 1 16,0
r1b1k2r/ppqn1pp1/4pn1p/4N3/1b3B2/3B1N2/PPP1QPPP/R3K2R w KQkq - 6 14,0
r1b2rk1/pp1n1pp1/2q1p2p/3n4/2N2B2/3B1Q2/PPPK1PPP/R2R4 w - - 7 19,0
